stock_symbol,date_only,data_source,Open,High,Low,Close,Volume,daily_return,sentiment_compound_filled,sentiment_positive_filled,sentiment_negative_filled,sentiment_neutral_filled,prev_day_sentiment_compound_filled,prev_day_sentiment_positive_filled,prev_day_sentiment_negative_filled,prev_day_sentiment_neutral_filled,sentiment_compound_is_filled,prev_day_sentiment_compound_is_filled,no_post_prediction,post_count_filled,prev_day_post_count_filled,day_of_week,month,is_quarter_end,volatility,sentiment_7day_avg,next_day_direction,predicted_direction,next_day_up,next_day_return
NVDA,2024-10-24,news,140.7973584,141.3272719,138.4377373,140.3874207,172354900,-0.2911544104,0.01,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,3,10,FALSE,2.052264763,-0.1531,flat,flat,0,0.4328394537
NVDA,2024-10-25,news,140.9073247,144.1068222,140.777356,141.5172272,205122100,0.4328394537,0.04,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,4,10,FALSE,2.362876608,-0.1531,down,flat,0,-1.734262747
NVDA,2024-10-28,news,142.9769874,143.1169642,140.0274652,140.4973907,173586700,-1.734262747,0.3469,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,0,10,FALSE,2.1608366,-0.1531,up,up,1,0.6843016322
NVDA,2024-10-29,news,140.2674274,142.2371117,138.8776516,141.2272797,157593600,0.6843016322,0.3469,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,1,10,FALSE,2.395039398,-0.1531,flat,up,0,-0.1433258979
NVDA,2024-10-30,news,139.517546,140.3074274,136.7879894,139.3175812,179418100,-0.1433258979,-0.6531,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,2,10,FALSE,2.522577355,-0.1531,down,down,0,-3.517450132
NVDA,2024-10-31,news,137.5778808,137.5878737,132.0887581,132.7386475,270039600,-3.517450132,0.3378,0.148,0.027,0.825,-0.1531,0.071,0.098,0.831,FALSE,TRUE,TRUE,1,1,3,10,FALSE,3.997092846,-0.01154285714,up,down,1,0.5196710944
NVDA,2024-11-01,news,134.6783352,137.2879161,134.5483665,135.3782196,207127800,0.5196710944,0.02,0.148,0.027,0.825,0.8378,0.148,0.027,0.825,TRUE,FALSE,FALSE,1,1,4,11,FALSE,2.034142759,0.1300142857,down,flat,0,-0.8454220577
NVDA,2024-11-04,news,137.187939,138.9376576,135.5482034,136.0281219,187528200,-0.8454220577,1.3378,0.148,0.027,0.825,0.8378,0.148,0.027,0.825,TRUE,TRUE,TRUE,1,1,0,11,FALSE,2.470664838,0.2715714286,up,up,1,1.789746649
NVDA,2024-11-05,news,137.427886,140.3474144,137.3079102,139.8874969,160537400,1.789746649,-1.3908,0,0.178,0.822,0.8378,0.148,0.027,0.825,FALSE,TRUE,TRUE,1,1,1,11,FALSE,2.211708515,0.1661857143,up,down,1,1.853661004
NVDA,2024-11-06,news,142.9369958,146.4664263,141.9371567,145.5865631,242043900,1.853661004,-0.3908,0,0.178,0.822,-0.8908,0,0.178,0.822,TRUE,FALSE,FALSE,1,1,2,11,FALSE,3.16871752,0.0608,up,up,1,1.700939616
NVDA,2024-11-07,news,146.3664588,148.9060436,146.1464929,148.8560638,207323300,1.700939616,-1.2351,0,0.094,0.906,-0.8908,0,0.178,0.822,FALSE,TRUE,TRUE,1,1,3,11,FALSE,1.88537094,-0.02234285714,down,down,0,-0.7662830926
NVDA,2024-11-08,news,148.7460629,149.745902,146.236457,147.6062469,175665800,-0.7662830926,-1.2351,0,0.094,0.906,-0.7351,0,0.094,0.906,TRUE,FALSE,FALSE,1,1,4,11,FALSE,2.359353139,-0.1054857143,down,down,0,-2.300241013
NVDA,2024-11-11,news,148.6560815,148.8260675,143.5469179,145.2366333,182325600,-2.300241013,-0.2351,0,0.094,0.906,-0.7351,0,0.094,0.906,TRUE,TRUE,TRUE,1,1,0,11,FALSE,3.551250363,-0.3301857143,up,up,1,1.028746777
NVDA,2024-11-12,news,146.756377,149.6259103,145.9864967,148.2661285,198634700,1.028746777,-1.2351,0,0.094,0.906,-0.7351,0,0.094,0.906,TRUE,TRUE,TRUE,1,1,1,11,FALSE,2.479901499,-0.5548857143,down,down,0,-1.878314157
NVDA,2024-11-13,news,149.0460123,149.305965,145.8765091,146.24646,191903300,-1.878314157,-1.2351,0,0.094,0.906,-0.7351,0,0.094,0.906,TRUE,TRUE,TRUE,1,1,2,11,FALSE,2.300937658,-0.7795857143,down,down,0,-0.5960477421
NVDA,2024-11-14,news,147.6162371,148.9760189,145.5265772,146.7363739,194463300,-0.5960477421,0.0183,0.061,0.0215,0.9175,-0.7351,0,0.094,0.906,FALSE,TRUE,TRUE,2,1,3,11,FALSE,2.336763047,-0.5782857143,down,down,0,-1.994891618
NVDA,2024-11-15,news,144.8466878,145.2166386,140.0574651,141.9571533,250132900,-1.994891618,0.204,0,0.033,0.967,0.5183,0.061,0.0215,0.9175,FALSE,FALSE,FALSE,1,2,4,11,FALSE,3.561816688,-0.4933142857,flat,up,0,0.4659454455
NVDA,2024-11-18,news,139.4775521,141.5272253,137.1279242,140.1274414,221866000,0.4659454455,0.204,0,0.033,0.967,-0.296,0,0.033,0.967,TRUE,FALSE,FALSE,1,1,0,11,FALSE,3.154128427,-0.4305857143,up,up,1,4.02631396
NVDA,2024-11-19,news,141.2972716,147.1063345,140.9673229,146.9863434,227834900,4.02631396,0.05,0,0.033,0.967,-0.296,0,0.033,0.967,TRUE,TRUE,TRUE,1,1,1,11,FALSE,4.344748848,-0.3678571429,down,flat,0,-1.031140516
NVDA,2024-11-20,news,147.3862911,147.5362609,142.707036,145.8665314,309871700,-1.031140516,-0.796,0,0.033,0.967,-0.296,0,0.033,0.967,TRUE,TRUE,TRUE,1,1,2,11,FALSE,3.276576698,-0.3051285714,down,down,0,-1.794447824
